"req_id","source_anchor","text_vi","status","priority","scope","category","blocked_by","impacted_packages","notes"
"REQ-A7","SRC-SPEC:A7","X có thể hạn chế tài khoản dù người dùng tự giải CAPTCHA; không kiểm chứng được trước nên phải thiết kế điều kiện dừng rõ ràng","KC","P0","MVP","assumption","B05","PC05;PC03","Dẫn tới trạng thái blocked và stop_reason source_blocked"
"REQ-OQ01","SRC-SPEC§13.1#row-01","Xác nhận D09: dùng Chrome profile riêng của dự án thay cho profile mặc định. Người dùng trả lời. Chặn M0","XN","P0","MVP","open-question","B12","PC01;PC05","ĐÃ TRẢ LỜI. Ratified OD-20260907-01 (mục 1): Owner xác nhận profile riêng của dự án; REQ-D09 ĐX → XN; M0/SP1 không còn bị chặn bởi câu hỏi này (probe A1 vẫn NOT_RUN)"
"REQ-OQ02","SRC-SPEC§13.1#row-02","Chọn stack, khuyến nghị A là Python toàn bộ. Người dùng trả lời. Chặn M1","XN","P0","MVP","open-question","","PC10","ĐÃ TRẢ LỜI. Ratified OD-20260907-01 (mục 3): Owner chọn stack B — Python workers cộng TypeScript web; khuyến nghị A của đặc tả KHÔNG được chọn. Xem ADR-0006 (đã viết lại theo B). Hợp đồng không đổi; 18 task card phải viết lại §3 đường dẫn và §8 lệnh build/test"
"REQ-OQ03","SRC-SPEC§13.1#row-03","Provider và model cụ thể cho gắn nhãn và cho summary. Người dùng trả lời. Chặn M3","ĐX","P0","MVP","open-question","B13","PC06","Không có mặc định an toàn; giữ OWNER_DECISION_REQUIRED trong phạm vi bật provider"
"REQ-OQ04","SRC-SPEC§13.1#row-04","N ngày với ngược cho tag mới; mặc định đề xuất 7. Người dùng trả lời. Không chặn","ĐX","P0","MVP","open-question","B04","PC04","PROVISIONAL: N bằng 7 ngày theo đề xuất của spec"
"REQ-OQ05","SRC-SPEC§13.1#row-05","Giới hạn mỗi đợt: số bài và hoặc thời gian, con số thật. Người dùng trả lời sau M0. Không chặn","ĐX","P0","MVP","open-question","B02","PC03;PC05","PROVISIONAL: 200 post hoặc 30 phút, cái nào tới trước; Owner đặt số thật sau M0"
"REQ-OQ06","SRC-SPEC§13.1#row-06","Lịch cụ thể: mấy giờ và mấy lần một ngày. Người dùng trả lời. Không chặn tới M7","ĐX","P0","MVP","open-question","B08","PC03","PROVISIONAL: 08:00 và 20:00 theo giờ địa phương của Owner, lấy từ ví dụ trong spec"
"REQ-OQ07","SRC-SPEC§13.1#row-07","Giờ yên lặng cho Telegram. Người dùng trả lời. Không chặn","ĐX","P0","MVP","open-question","","PC07","PROVISIONAL: không có giờ yên lặng ở MVP"
"REQ-OQ08","SRC-SPEC§13.1#row-08","Ngưỡng tương đồng embedding. Dữ liệu trả lời sau M3. Không chặn","KC","P0","MVP","open-question","","PC04;PC09","Không đặt số PROVISIONAL vì phải đo; gate thí nghiệm theo REQ-A2"
"REQ-OQ09","SRC-SPEC§13.1#row-09","Model embedding cụ thể. Kỹ thuật trả lời sau A3. Không chặn","KC","P0","MVP","open-question","","PC04","Ràng buộc: local, đa ngôn ngữ, lưu tên và phiên bản kèm vector"
"REQ-OQ10","SRC-SPEC§13.1#row-10","Có cần export Saved ở MVP hay hoãn. Người dùng trả lời. Không chặn","ĐX","P0","MVP","open-question","","PC07","PROVISIONAL: hoãn sang P1; màn hình Saved vẫn liệt kê export ở §4 nên cần Owner chốt"
"REQ-S1.4-01","SRC-SPEC§1.4#row-01","Chỉ số chính: số hướng nghiên cứu người dùng thấy đáng đọc sâu ít nhất 1 mỗi tuần","UQ","P0","MVP","success-criteria","B14","PC09","Trạng thái nguồn ghi Được ủy quyền; cần rubric và denominator khóa trước khi đo"
"REQ-S1.4-02","SRC-SPEC§1.4#row-02","Chỉ số chính: tỷ lệ nhiễu, số hướng bị gắn nhãn sai phải bỏ qua không lớn hơn số hướng dùng được","UQ","P0","MVP","success-criteria","B14","PC09","Trạng thái nguồn ghi Được ủy quyền; cần định nghĩa sai nhãn trước khi đo"
"REQ-S1.4-03","SRC-SPEC§1.4#row-03","Chỉ số vận hành: công trình trùng không thành nhiều phát hiện, 0 trường hợp trùng","XN","P0","MVP","identity","B15","PC02;PC09","Trạng thái nguồn ghi Đã xác nhận; AMD-B15 thu hẹp về canonical identity đã biết"
"REQ-S1.4-04","SRC-SPEC§1.4#row-04","Chỉ số vận hành: số lần người dùng phải can thiệp xác minh X ở mức chấp nhận được, đo để biết","KC","P0","MVP","success-criteria","B05","PC05;PC09","Trạng thái nguồn ghi Cần kiểm chứng; đo trong probe A1"
"REQ-S1.4-05","SRC-SPEC§1.4#row-05","Chỉ số tiết kiệm thời gian đọc không được đưa vào vì không đo được trung thực ở bản một người dùng","XN","P0","MVP","success-criteria","","PC09","Ràng buộc âm: không được thêm lại chỉ số này vào rubric"
"REQ-S4-01","SRC-SPEC§4#row-01","Màn hình Reports trả lời có gì mới: hiện danh sách kỳ gồm ngày, khoảng bao trùm, số mục, số hướng nổi; hành động mở kỳ và chạy ngay; rỗng thì hiện chưa có kỳ nào bấm chạy ngay; lỗi thì hiện lỗi tải và giữ dữ liệu cache; điện thoại đầy đủ","UQ","P0","MVP","ui","B04","PC04;PC07","Bảng IA là chi tiết trình bày được ủy quyền; nội dung bắt buộc của màn hình vẫn lấy từ các REQ-D tương ứng"
"REQ-S4-02","SRC-SPEC§4#row-02","Màn hình Report detail để đọc một kỳ: khối hướng đang nổi, danh sách mục công trình, phiên bản tag đã dùng, coverage_from và coverage_to; hành động Save, mở nguồn, mở work detail, phân tích lại một mục; rỗng một phần thì ghi rõ đợt dừng sớm vì lý do gì; điện thoại đọc và Save","UQ","P0","MVP","ui","B01;B14;B17","PC04;PC07","Bảng IA là chi tiết trình bày được ủy quyền; nội dung bắt buộc của màn hình vẫn lấy từ các REQ-D tương ứng"
"REQ-S4-03","SRC-SPEC§4#row-03","Màn hình Work detail để đọc sâu một công trình: summary, nhãn mức độ đọc, nhãn chủ đề, tag khớp, danh sách post dẫn nó, paper hoặc DOI, lịch sử phân tích, mục liên quan đã báo cáo; hành động Save, mở link gốc, phân tích lại; lỗi thì hiện nội dung đã có và ghi rõ phần nào thiếu; điện thoại đọc và Save","UQ","P0","MVP","ui","B06;B07","PC02;PC06;PC07","Bảng IA là chi tiết trình bày được ủy quyền; nội dung bắt buộc của màn hình vẫn lấy từ các REQ-D tương ứng"
"REQ-S4-04","SRC-SPEC§4#row-04","Màn hình Topics để quản lý tag: danh sách tag, từ đồng nghĩa, tag loại trừ, nhãn đang khớp mỗi tag; hành động thêm sửa xóa tag, xem nhãn khớp, quét lại kho theo tag; rỗng thì hiện chưa có tag nào báo cáo sẽ trống và KHÔNG hiện không có nghiên cứu mới; điện thoại chỉ xem","UQ","P0","MVP","ui","B04","PC04;PC07","Bảng IA là chi tiết trình bày được ủy quyền; nội dung bắt buộc của màn hình vẫn lấy từ các REQ-D tương ứng"
"REQ-S4-05","SRC-SPEC§4#row-05","Màn hình Saved là kho đã lưu: bài đã Save, ngày lưu, snapshot, nguồn Save app hoặc Telegram; hành động bỏ lưu, mở, tìm kiếm, export; rỗng thì hướng dẫn Save từ báo cáo; điện thoại đọc","UQ","P0","MVP","ui","","PC02;PC07","Bảng IA là chi tiết trình bày được ủy quyền; nội dung bắt buộc của màn hình vẫn lấy từ các REQ-D tương ứng. CẢNH BÁO PHẠM VI: hành động export trong hàng này KHÔNG thuộc MVP — F-PC00-02 và REQ-OQ10 hoãn export Saved sang P1 (PROVISIONAL, decision_owner Owner); contracts/ports.yaml đánh dấu save.export lifecycle_status deferred_p1. Nếu Owner giữ export ở MVP thì hàng này và save.export phải đổi cùng lúc. Bổ sung theo finding F-A1R1-09 / ruling R-09"
"REQ-S4-06","SRC-SPEC§4#row-06","Màn hình Runs để biết hệ thống đang làm gì: trạng thái collector online hoặc offline, last run, danh sách run kèm trạng thái, tiến độ và lý do dừng; hành động chạy ngay, tiếp tục run đang chờ, hủy run; loading thì hiện tiến độ theo checkpoint; điện thoại chỉ xem và chạy ngay","UQ","P0","MVP","ui","B02;B10","PC03;PC07","Bảng IA là chi tiết trình bày được ủy quyền; nội dung bắt buộc của màn hình vẫn lấy từ các REQ-D tương ứng"
"REQ-S4-07","SRC-SPEC§4#row-07","Màn hình Run detail để chẩn đoán một đợt: trigger type, cấu hình đã áp, số bài lấy, số bài mới, checkpoint, lỗi; hành động tiếp tục và xem log đã che secrets; điện thoại chỉ xem","UQ","P0","MVP","ui","B02","PC03;PC07","Bảng IA là chi tiết trình bày được ủy quyền; nội dung bắt buộc của màn hình vẫn lấy từ các REQ-D tương ứng"
"REQ-S4-08","SRC-SPEC§4#row-08","Màn hình Settings để cấu hình: lịch, giới hạn đợt, N ngày với ngược, provider và model theo tác vụ, key, liên kết Telegram, model embedding; hành động sửa, sinh mã liên kết Telegram, hủy liên kết, test provider; lỗi test provider hiện rõ nhà nào lỗi; điện thoại chỉ xem","UQ","P0","MVP","ui","B08;B13","PC06;PC07;PC08","Bảng IA là chi tiết trình bày được ủy quyền; nội dung bắt buộc của màn hình vẫn lấy từ các REQ-D tương ứng"
"REQ-S4-09","SRC-SPEC§4","Điều hướng chính gồm Reports, Topics, Saved, Runs, Settings; màn hình mặc định là Reports","UQ","P0","MVP","ui","","PC07","Theo REQ-D45"
"REQ-S4-10","SRC-SPEC§4","Màu sắc và visual design chưa chốt, cố ý, vì flow chốt trước","UQ","P0","MVP","ui","","PC07","Không được coi thiếu design token là blocker hợp đồng"
"REQ-S5.1-01","SRC-SPEC§5.1#row-01","Thiết lập lần đầu bước 1: đăng nhập app bằng tài khoản duy nhất","XN","P0","MVP","users-access","","PC08","Theo REQ-D05"
"REQ-S5.1-02","SRC-SPEC§5.1#row-02","Thiết lập lần đầu bước 2: nhập tag và app hiện ngay các nhãn đang khớp để người dùng hiệu chỉnh","XN","P0","MVP","tagging","","PC04;PC07","Theo REQ-D46; cần embedding sẵn sàng mới xem trước được"
"REQ-S5.1-03","SRC-SPEC§5.1#row-03","Thiết lập lần đầu bước 3: cấu hình provider theo tác vụ; nếu chọn CLI thì chỉ ra binary local","XN","P0","MVP","ai","B13","PC06;PC07","Theo REQ-D39 và REQ-D41"
"REQ-S5.1-04","SRC-SPEC§5.1#row-04","Thiết lập lần đầu bước 4: sinh mã liên kết Telegram trong app rồi gửi mã cho bot","XN","P0","MVP","telegram","B09","PC07","Đây là nguồn mâu thuẫn của B09 với §11.3"
"REQ-S5.1-05","SRC-SPEC§5.1#row-05","Thiết lập lần đầu bước 5: trên máy cá nhân khởi động collector và đăng nhập X vào profile riêng của dự án; lần đầu X thường đòi xác minh thiết bị mới và người dùng xử lý tay","ĐX","P0","MVP","collection","B12","PC05","Theo REQ-D09 còn ĐX"
"REQ-S5.2-01","SRC-SPEC§5.2","Sơ đồ đợt chạy thành công: queued sang collecting khi collector online kéo việc, collecting sang analyzing khi đạt điểm dừng, analyzing sang reporting khi mọi mục có summary, reporting sang delivered khi gửi Telegram OK hoặc delivered_partial khi Telegram lỗi, collecting sang needs_user khi CAPTCHA hoặc hết phiên, analyzing sang failed_partial khi AI lỗi ở một số mục","XN","P0","MVP","workflow","B02;B03","PC03;PC07","Dùng delivered bên trong vòng đời run, mâu thuẫn §9.1; AMD-B02 và AMD-B03 thay bằng phase/status/outcome cộng delivery độc lập"
"REQ-S5.3-01","SRC-SPEC§5.3#row-01","Đọc và Save trong app theo đường Reports rồi Report detail rồi Save","XN","P0","MVP","save","","PC07",""
"REQ-S5.3-02","SRC-SPEC§5.3#row-02","Qua Telegram nhận digest gồm khối hướng nổi và các mục kèm summary ngắn và link; bấm Save trên một mục thì bot ghi và phản hồi trạng thái; bấm nhiều lần vẫn một bản ghi","ĐX","P0","MVP","telegram","B03","PC07","Theo REQ-D38; multi-part digest cần delivery_part theo SRC-PLAN §8.3"
"REQ-S5.3-03","SRC-SPEC§5.3#row-03","Link trong tin Telegram trỏ về app và mở được từ điện thoại","XN","P0","MVP","telegram","","PC07","Theo REQ-D04"
"REQ-S5.4-01","SRC-SPEC§5.4#row-01","Can thiệp xác minh bước 1: collector phát hiện CAPTCHA hoặc phiên hết hạn thì run chuyển needs_user và checkpoint được lưu","XN","P0","MVP","workflow","B05","PC03;PC05","Checkpoint chỉ được tính trên dữ liệu server đã ACK theo AMD-B05"
"REQ-S5.4-02","SRC-SPEC§5.4#row-02","Can thiệp xác minh bước 2: Telegram gửi cảnh báo không lặp, một cảnh báo cho một run","XN","P0","MVP","telegram","B03","PC03;PC07","Alert intent riêng, không dùng chung delivery của report"
"REQ-S5.4-03","SRC-SPEC§5.4#row-03","Can thiệp xác minh bước 3: người dùng ngồi trước máy cá nhân và xử lý trong cửa sổ Chrome đang mở","XN","P0","MVP","collection","B12","PC05","Lý do collector không chạy trong container"
"REQ-S5.4-04","SRC-SPEC§5.4#row-04","Can thiệp xác minh bước 4: bấm tiếp tục trong app hoặc gửi lệnh trạng thái hoặc chạy ngay","XN","P0","MVP","workflow","B10","PC03;PC07","Mâu thuẫn với §9: AMD-B10 chốt status là read-only và run-now không vượt needs_user; resume là hành động riêng trong app"
"REQ-S5.4-05","SRC-SPEC§5.4#row-05","Can thiệp xác minh bước 5: nếu hạn chế vẫn còn thì run không tự tiếp tục, dừng và báo","XN","P0","MVP","workflow","","PC03","Gắn I10 và error code X_ACCESS_BLOCKED"
"REQ-S5.5-01","SRC-SPEC§5.5#row-01","Bỏ tag lúc 19h00 và báo cáo tạo lúc 20h00 thì các mục khớp tag đó không vào báo cáo dù đã thu thập và phân tích xong từ sáng; dữ liệu vẫn nằm trong kho","XN","P0","MVP","tagging","B01","PC04","Ví dụ chuẩn hóa của REQ-AC05"
"REQ-S5.5-02","SRC-SPEC§5.5#row-02","Thêm lại tag đó sau thì các mục cũ có thể xuất hiện, dùng bản phân tích sẵn có và không gọi AI lại","XN","P0","MVP","ai","B07","PC04;PC06","Ví dụ chuẩn hóa của REQ-AC06"
"REQ-S6.1-01","SRC-SPEC§6.1","Chạy ở server: web app, backend và API, job queue, data store SQLite, report builder, Telegram adapter và research sources","XN","P0","MVP","topology","","PC01","Theo REQ-D06, REQ-D07 và REQ-D32"
"REQ-S6.1-02","SRC-SPEC§6.1","Embedding service chạy ở server, sinh vector cho nhãn và tag từ model local","ĐX","P0","MVP","topology","B12","PC01;PC04","Theo REQ-D50 còn ĐX"
"REQ-S6.1-03","SRC-SPEC§6.1","X collector và analysis worker chạy ở máy cá nhân; lý do là đường CLI/ACP chỉ tồn tại nơi có phiên đăng nhập nên một code path phục vụ cả hai họ provider","ĐX","P0","MVP","topology","B12;B13","PC01;PC05;PC06","Theo REQ-D42 còn ĐX"
"REQ-S6.2-01","SRC-SPEC§6.2","Sơ đồ đường dữ liệu có cạnh collector chuyển thẳng dữ liệu cho analysis worker trên máy cá nhân","ĐX","P0","MVP","topology","B12","PC01;PC05;PC06","AMD-B12 xóa cạnh này: analysis worker nhận task từ server sau ingest commit"
"REQ-S6.3-01","SRC-SPEC§6.3","Khuyến nghị stack A là Python toàn bộ vì điều khiển Chrome và embedding local mạnh nhất ở Python; đây là đề xuất và cần người dùng chọn","ĐX","P0","MVP","stack","","PC10","Đây là khuyến nghị của đặc tả, KHÔNG phải lựa chọn cuối. Ratified OD-20260907-01 (mục 3): Owner chọn phương án B, nên khuyến nghị A ở hàng này đã bị bác. Trạng thái giữ ĐX vì bản thân hàng nguồn là một đề xuất chưa được chọn. Xem ADR-0006"
"REQ-S6.4-01","SRC-SPEC§6.4#row-01","Server dùng Docker cho web, backend, queue và embedding; SQLite là file trên volume","UQ","P0","MVP","ops","B11","PC08","Volume và backup phải nhất quán với AMD-B11"
"REQ-S6.4-02","SRC-SPEC§6.4#row-02","Máy cá nhân cài collector và analysis worker như tiến trình trên máy, không trong container, vì Chrome phải hiện cửa sổ cho người dùng bấm và CLI/ACP cần phiên đăng nhập của người dùng","XN","P0","MVP","ops","B12;B13","PC01;PC08","Ràng buộc triển khai đã có lý do rõ; ảnh hưởng chính sách cô lập của B13"
"REQ-S6.4-03","SRC-SPEC§6.4#row-03","Collector và worker gọi ra backend API bằng token riêng; không mở cổng vào máy cá nhân","ĐX","P0","MVP","security","B12;B13","PC01;PC08","Vế token riêng theo REQ-D08 còn ĐX; vế không mở cổng vào là ràng buộc bảo mật được củng cố bởi REQ-S11.2-06"
"REQ-S7.3-01","SRC-SPEC§7.3#row-01","Mọi bảng dữ liệu có owner_id dù chỉ có một owner","XN","P0","MVP","data","","PC02","Giữ cột nhưng không dựng tính năng multi-user; theo REQ-D01"
"REQ-S7.3-02","SRC-SPEC§7.3#row-02","analysis có phiên bản; phân tích lại tạo bản mới, không ghi đè","ĐX","P0","MVP","ai","B07","PC02;PC06","Phiên bản phải nâng thành generation trong analysis key theo AMD-B07"
"REQ-S7.3-03","SRC-SPEC§7.3#row-03","work_label lưu tên và phiên bản model embedding; đổi model là phải tính lại toàn kho","XN","P0","MVP","tagging","","PC02;PC04","Gắn I12 và error code EMBEDDING_GENERATION_MISMATCH"
"REQ-S7.3-04","SRC-SPEC§7.3#row-04","Retention giữ vô thời hạn; backup là copy file SQLite; restore là đặt file về chỗ cũ","UQ","P0","MVP","ops","B11","PC08","AMD-B11 thay bằng Online Backup API hoặc VACUUM INTO cộng manifest cộng restore drill"
"REQ-S7.3-05","SRC-SPEC§7.3#row-05","Bỏ lưu khác xóa dữ liệu gốc khác xóa toàn bộ dữ liệu; ba thao tác riêng và thao tác thứ ba đòi xác nhận gõ tay","XN","P0","MVP","data","","PC02;PC07","Ba operation riêng biệt trong contracts/ports.yaml: save.remove (đã có, requirement_refs phải trỏ về chính REQ-S7.3-05), data.delete_target (xóa dữ liệu gốc một target, giữ saved_snapshot theo D55, scenario SC32) và data.purge_all (xóa toàn bộ, cần cụm xác nhận gõ tay khớp challenge của server, chỉ trong storage.maintenance). Hai operation sau do PC01 thêm theo ruling R-04; phạm vi loại trừ của data.purge_all đã được giải bằng OD-20260907-01 (mục 24): chỉ xóa dữ liệu nghiên cứu; GIỮ đăng nhập, secrets, liên kết Telegram, cấu hình provider và lịch; backup KHÔNG bị xóa. Hình dạng hai pha là PROV-PC00-03, scenario SC44. Bổ sung theo finding F-A1R1-04 và ruling FIX3"
"REQ-S7.3-06","SRC-SPEC§7.3#row-06","Saved là snapshot nên bài gốc bị xóa trên X vẫn đọc được trong Saved","UQ","P0","MVP","save","","PC02","Theo REQ-D55; oracle của REQ-AC12"
"REQ-S8.1-01","SRC-SPEC§8.1#row-01","Lớp nhãn chủ đề trả lời bài này nói về cái gì, do AI quyết dưới dạng mô tả mở, chạy một lần lúc thu thập","ĐX","P0","MVP","ai","B07","PC06","Theo REQ-D22 còn ĐX; một lần nghĩa là một kết quả hợp lệ mỗi generation"
"REQ-S8.1-02","SRC-SPEC§8.1#row-02","Lớp subscription trả lời tôi đang theo cái gì, do người dùng quyết và sửa được bất cứ lúc nào","XN","P0","MVP","tagging","","PC04","Theo REQ-D46"
"REQ-S8.1-03","SRC-SPEC§8.1#row-03","Lớp chọn nội dung trả lời bài nào vào báo cáo, do truy vấn embedding quyết, chạy lúc tạo báo cáo","XN","P0","MVP","reporting","B01","PC04","Thời điểm chạy là mốc freeze của AMD-B01"
"REQ-S8.1-04","SRC-SPEC§8.1#row-04","Không được lẫn lớp nhãn chủ đề với lớp subscription; chính vì tách như vậy mà đổi tag không cần chạy lại AI","XN","P0","MVP","ai","B07","PC04;PC06","Ràng buộc kiến trúc; oracle là REQ-AC06"
"REQ-S8.2-01","SRC-SPEC§8.2#row-01","14h00 thứ Ba thêm tag protein folding, đợt 20h lấy về post đăng 9h thứ Hai dẫn paper khớp tag thì vào báo cáo vì ngày đăng không quyết định, bộ tag lúc tạo báo cáo mới quyết định","XN","P0","MVP","tagging","B01","PC04","Căn cứ nguồn là mốc theo thời điểm gửi, tức REQ-CTAG"
"REQ-S8.2-02","SRC-SPEC§8.2#row-02","8h00 thu về 4 bài khớp tag graph neural networks, 19h00 bỏ tag đó, 20h00 tạo báo cáo thì không vào báo cáo dù đã tốn AI từ sáng; dữ liệu ở lại kho","XN","P0","MVP","tagging","B01","PC04","Căn cứ nguồn là REQ-CTAG; oracle của REQ-AC05"
"REQ-S8.2-03","SRC-SPEC§8.2#row-03","Thêm lại tag graph neural networks tuần sau thì 4 bài đó có thể xuất hiện, dùng bản phân tích cũ và không gọi AI lại","XN","P0","MVP","tagging","B07","PC04;PC06","Căn cứ nguồn là REQ-D25"
"REQ-S8.2-04","SRC-SPEC§8.2#row-04","Sau 3 tháng thêm tag mới hoàn toàn thì kỳ đầu của tag đó với ngược N ngày trước coverage_from đúng một lần; muốn đào sâu hơn thì bấm quét lại kho","XN","P0","MVP","tagging","B04","PC04","Căn cứ nguồn là REQ-D28; cần backfill ledger theo activation"
"REQ-S8.2-05","SRC-SPEC§8.2#row-05","Công trình X đã là phát hiện ở kỳ 12/03 thì kỳ 19/03 không báo lại như phát hiện mới; nếu liên quan thì hiện dạng tham chiếu đã báo cáo 12/03","XN","P0","MVP","tagging","B15","PC02;PC04","Căn cứ nguồn là REQ-D29"
"REQ-S8.2-06","SRC-SPEC§8.2#row-06","Đổi tag lúc job đang collect thì không ảnh hưởng gì tới việc lọc vì collector chỉ dùng tag để tìm kiếm","UQ","P0","MVP","tagging","B01","PC04;PC05","Căn cứ nguồn là REQ-D24"
"REQ-S8.2-07","SRC-SPEC§8.2#row-07","Bỏ tag protein folding nhưng đã Save 3 bài thuộc tag đó thì Saved giữ nguyên, đọc được và kèm snapshot","UQ","P0","MVP","tagging","","PC02;PC07","Căn cứ nguồn là REQ-D55; gắn I08"
"REQ-S8.2-08","SRC-SPEC§8.2#row-08","Máy đóng từ thứ Hai đến thứ Năm với lịch 8h và 20h thì thứ Năm mở máy các đợt quá hạn gộp thành một, không chạy dồn 6 đợt; tin Telegram ghi khoảng bao trùm","ĐX","P0","MVP","tagging","B08","PC03;PC07","Căn cứ nguồn là REQ-D15; cần timezone xác định"
"REQ-S8.2-09","SRC-SPEC§8.2#row-09","Đợt chạy không có bài nào khớp tag thì không gửi Telegram; run ghi trạng thái không có nội dung phù hợp, khác với đợt thất bại","UQ","P0","MVP","tagging","B04;B02","PC03;PC04;PC07","Căn cứ nguồn là REQ-D57; AMD-B04 vẫn ghi coverage record"
"REQ-S8.2-10","SRC-SPEC§8.2#row-10","Bấm Save trên Telegram 5 lần liên tiếp thì chỉ một bản ghi; bot phản hồi trạng thái mỗi lần","ĐX","P0","MVP","tagging","B03","PC02;PC07","Căn cứ nguồn là REQ-D38; oracle của REQ-AC13"
"REQ-S8.3-01","SRC-SPEC§8.3#row-01","Trạng thái không có nội dung phù hợp nghĩa là thu thập xong và không bài nào khớp tag; không được hiển thị là không có nghiên cứu mới","XN","P0","MVP","ui","B02","PC03;PC07","Oracle của REQ-AC15; ràng buộc âm về wording"
"REQ-S8.3-02","SRC-SPEC§8.3#row-02","Trạng thái đợt dừng sớm nghĩa là gặp giới hạn hoặc cần xác minh; không được hiển thị là đợt hoàn tất","XN","P0","MVP","ui","B02","PC03;PC07","AMD-B02 vẫn phải giữ ba trạng thái phân biệt được ở read model"
"REQ-S8.3-03","SRC-SPEC§8.3#row-03","Trạng thái đợt thất bại nghĩa là nguồn không truy cập được hoặc lỗi hệ thống; không được hiển thị là không có dữ liệu mới","XN","P0","MVP","ui","B02","PC03;PC07","Gắn I13"
"REQ-S9.1-01","SRC-SPEC§9.1","Trạng thái job và trạng thái gửi báo cáo là hai thứ độc lập: Telegram lỗi không làm run thất bại và run dừng sớm vẫn có thể sinh báo cáo một phần","XN","P0","MVP","workflow","B02;B03","PC03;PC07","Gắn I09; mâu thuẫn với sơ đồ §5.2"
"REQ-S9.1-02","SRC-SPEC§9.1#row-01","Vòng đời run: queued sang collecting sang analyzing sang reporting sang done, với nhánh needs_user, stopped_limit, failed và failed_partial","XN","P0","MVP","workflow","B02","PC03","AMD-B02 thay bằng phase, status, outcome và stop_reason kèm bảng ánh xạ enum cũ"
"REQ-S9.1-03","SRC-SPEC§9.1#row-02","Vòng đời delivery: pending sang sent, với nhánh retrying và failed","XN","P0","MVP","telegram","B03","PC07","AMD-B03 bổ sung trạng thái unknown và cấm auto retry từ unknown"
"REQ-S9.2-01","SRC-SPEC§9.2#row-01","Checkpoint sau mỗi trang hoặc lô bài thu được lưu post đã ghi, con trỏ vị trí và số bài đã lấy; khởi động lại thì tiếp từ con trỏ, không lấy lại bài đã có","XN","P0","MVP","workflow","B05","PC03;PC05","AMD-B05: cam kết là không ingest trùng theo x_post_id, đọc lại được phép theo recovery policy"
"REQ-S9.2-02","SRC-SPEC§9.2#row-02","Checkpoint sau mỗi work lấy được metadata lưu work và liên kết post_work; khởi động lại thì bỏ qua work đã có metadata","XN","P0","MVP","workflow","B06","PC02;PC03","Cần định nghĩa canonical identity trước mới bỏ qua đúng"
"REQ-S9.2-03","SRC-SPEC§9.2#row-03","Checkpoint sau mỗi analysis hoàn thành lưu bản phân tích của từng work; khởi động lại thì chỉ phân tích work còn thiếu","XN","P0","MVP","ai","B07","PC03;PC06","Còn thiếu được định nghĩa theo analysis key và generation"
"REQ-S9.2-04","SRC-SPEC§9.2#row-04","Checkpoint sau khi report được dựng lưu report và report_item; khởi động lại thì không dựng lại, chỉ gửi lại","XN","P0","MVP","reporting","B01;B03","PC04;PC07","Không dựng lại là cơ sở cho freeze nội dung sau publish"
"REQ-S9.2-05","SRC-SPEC§9.2#row-05","Checkpoint sau khi gửi thành công lưu delivery.sent; khởi động lại thì không gửi lần hai","XN","P0","MVP","telegram","B03","PC07","Chỉ đúng khi biết chắc đã gửi; trường hợp không biết là delivery.unknown theo AMD-B03"
"REQ-S9.2-06","SRC-SPEC§9.2","Nguyên tắc: đơn vị checkpoint là một work, không phải một đợt, nhờ vậy một run bị đứt giữa không mất công AI đã bỏ ra","XN","P0","MVP","workflow","B07","PC03;PC06","Ràng buộc granularity cho PC03"
"REQ-S9.3-01","SRC-SPEC§9.3#row-01","Lỗi CAPTCHA hoặc hết phiên: chuyển needs_user, lưu checkpoint, gửi một cảnh báo, không tự thử lại; chống trùng bằng run_id gắn cảnh báo","XN","P0","MVP","error-handling","B05","PC03;PC05;PC07","Error code X_CHALLENGE_REQUIRED; gắn I10"
"REQ-S9.3-02","SRC-SPEC§9.3#row-02","Lỗi rate limit hoặc bị chặn: dừng đợt, ghi lý do, không luân chuyển gì để lách","XN","P0","MVP","error-handling","B02","PC03;PC05","Error code X_ACCESS_BLOCKED; ràng buộc âm theo REQ-OOS-02"
"REQ-S9.3-03","SRC-SPEC§9.3#row-03","AI lỗi một mục: thử lại một lần, vẫn lỗi thì mục đó thiếu summary và bị đánh dấu, báo cáo thành failed_partial; chống trùng bằng analysis theo work_id","XN","P0","MVP","error-handling","B07;B17","PC03;PC06","Error code AI_OUTPUT_INVALID; AMD-B02 đổi tên trạng thái, AMD-B17 đổi cách đánh dấu report"
"REQ-S9.3-04","SRC-SPEC§9.3#row-04","AI lỗi toàn bộ provider: nếu người dùng đã cấu hình provider thứ hai thì fallback, nếu không thì báo lỗi và giữ dữ liệu đã thu","XN","P0","MVP","error-handling","B13","PC06","Error code AI_PROVIDER_UNAVAILABLE; fallback phải theo allowlist do owner cấu hình, không do model chọn"
"REQ-S9.3-05","SRC-SPEC§9.3#row-05","arXiv hoặc OpenAlex lỗi: work vẫn tồn tại với nhãn chỉ có post; chống trùng bằng doi và arxiv_id UNIQUE","XN","P0","MVP","error-handling","B06;B15","PC02;PC05","Error code SOURCE_METADATA_UNAVAILABLE; không đoán DOI"
