"req_id","req_status","priority","contract_refs","invariant_refs","scenario_refs","error_refs","evidence_level","coverage_status","notes","executed_evidence"
"REQ-D38","ĐX","P0","contracts/data/entities.yaml;contracts/data/invariants.md;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/schemas/saved-snapshot.schema.json;contracts/state/delivery.yaml;contracts/telegram/commands.yaml;contracts/telegram/delivery.md;precode/baseline.json;precode/decision-register.md","I05;I08;I09;I13;I17","SC13;SC14;SC46","CONFLICT;IDEMPOTENCY_CONFLICT;NOT_FOUND;RATE_LIMITED;TELEGRAM_PERMANENT_FAILURE;TELEGRAM_SEND_UNCERTAIN;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","AMD-B03 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: d-concurrent-save-app-telegram.json f-stale-callback-no-save.json j-concurrent-save-app-telegram.json","E2: SC13"
"REQ-D55","UQ","P0","contracts/data/entities.yaml;contracts/data/invariants.md;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/time-and-tags.md;contracts/schemas/saved-snapshot.schema.json;contracts/telegram/commands.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I01;I08;I15;I17","SC12;SC13;SC32;SC46;SC48","CONFLICT;IDEMPOTENCY_CONFLICT;NOT_FOUND;RESTORE_UNVERIFIED;STORAGE_WRITE_FAILED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E2","COVERED","fixture: d-concurrent-save-app-telegram.json e-source-deleted-snapshot-intact.json j-concurrent-save-app-telegram.json k-save-then-source-deleted.json","E1/E2: SC12;SC13;SC48"
"REQ-D56","UQ","P0","contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/time-and-tags.md;contracts/state/run.yaml;precode/baseline.json;precode/decision-register.md","I06;I13","SC02;SC34","STORAGE_WRITE_FAILED;VALIDATION_ERROR","E2","COVERED","AMD-B08 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: j-dst-boundary-occurrences.json","E2: SC34"
"REQ-D58","UQ","P0","contracts/data/entities.yaml;contracts/data/identity.md;contracts/data/invariants.md;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ops/backup-restore.md;contracts/ports.yaml;contracts/state/storage.yaml;contracts/telegram/commands.yaml;precode/baseline.json;precode/decision-register.md","I01;I08;I09;I10;I13;I15;I17","SC12;SC27;SC32;SC42;SC43;SC44;SC53","CONFLICT;CSRF_REJECTED;INTERNAL;NOT_FOUND;RESTORE_UNVERIFIED;STALE_LEASE;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN;UNAUTHORIZED;VALIDATION_ERROR","E3","COVERED","AMD-B11 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: e-source-deleted-snapshot-intact.json k-save-then-source-deleted.json","E2: SC12;SC27;SC42;SC53"
"REQ-D07","XN","P0","contracts/data/entities.yaml;contracts/modules.yaml;contracts/ops/deployment.md;precode/baseline.json;precode/decision-register.md","I02;I04;I05;I06;I07;I09;I12;I13;I15;I16","SC26;SC36;SC43;SC50","AI_OUTPUT_INVALID;INTERNAL;RESTORE_UNVERIFIED;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN","E3","COVERED","fixture: a-happy-path-schedule-to-delivered.json l-storage-write-blocked-mid-run.json","E2: SC26"
"REQ-D39","XN","P0","contracts/ai/providers.yaml;contracts/ai/tasks.yaml;contracts/data/entities.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/ui/screens.yaml;precode/baseline.json","I01;I11;I12","SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","fixture: sc51-first-time-setup.json","PARTIAL_E1_E2: SC51"
"REQ-D40","UQ","P0","contracts/ai/providers.yaml;contracts/ai/tasks.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;precode/baseline.json","","","","E0","PARTIAL","có hợp đồng, chưa có scenario",""
"REQ-D41","XN","P0","contracts/ai/providers.yaml;contracts/ai/tasks.yaml;contracts/capabilities.yaml;contracts/data/entities.yaml;contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ops/cli-acp-probe.md;contracts/ops/secrets.md;contracts/ports.yaml;contracts/schemas/analysis-result.schema.json;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I01;I11;I12;I14","SC16;SC51;SC55","AI_ATTEMPT_UNCERTAIN;AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CAPABILITY_DENIED;CSRF_REJECTED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","blocked_by B13 — RATIFIED (OD-20260907-01) · fixture: k-zero-api-key-all-tasks-via-cli.json sc51-first-time-setup.json","PARTIAL_E1_E2: SC16;SC51"
"REQ-D43","ĐX","P0","contracts/ai/providers.yaml;contracts/ai/tasks.yaml;contracts/capabilities.yaml;contracts/data/entities.yaml;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ops/cli-acp-probe.md;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/schemas/analysis-result.schema.json;contracts/state/analysis.yaml;precode/baseline.json;precode/decision-register.md","I04;I11;I14;I16","SC16;SC28;SC55;SC56","AI_ATTEMPT_UNCERTAIN;AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CAPABILITY_DENIED;CONFLICT","E3","COVERED","blocked_by B13 — RATIFIED (OD-20260907-01) · fixture: c-citation-to-unknown-source.json d-schema-valid-but-uncited.json g-cli-json-embedded-in-prose.json i-crash-after-provider-completion.json","E2: SC28"
"REQ-D44","ĐX","P0","contracts/ai/providers.yaml;contracts/ai/tasks.yaml;contracts/data/entities.yaml;contracts/data/invariants.md;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ops/cli-acp-probe.md;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/schemas/analysis-result.schema.json;contracts/state/analysis.yaml;precode/baseline.json;precode/decision-register.md","I04;I11;I14;I16","SC16;SC28;SC55;SC56","AI_ATTEMPT_UNCERTAIN;AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CAPABILITY_DENIED;CONFLICT","E3","COVERED","fixture: h-provider-unavailable-no-fallback.json i-crash-after-provider-completion.json","E2: SC28"
"REQ-D51","XN","P0","contracts/ai/providers.yaml;contracts/ai/tasks.yaml;contracts/capabilities.yaml;contracts/data/entities.yaml;contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ops/cli-acp-probe.md;contracts/ops/secrets.md;contracts/ports.yaml;precode/baseline.json;precode/decision-register.md","I11;I14","SC16","AI_ATTEMPT_UNCERTAIN;AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CAPABILITY_DENIED","E3","COVERED","blocked_by B13 — RATIFIED (OD-20260907-01) · fixture: g-cli-json-embedded-in-prose.json k-zero-api-key-all-tasks-via-cli.json","PARTIAL_E1_E2: SC16"
"REQ-AC01","XN","P0","contracts/http/openapi.yaml;contracts/ops/collector-probe.md;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/schemas/worker-assignment.schema.json;contracts/state/run.yaml;precode/baseline.json;precode/decision-register.md","I01;I10;I15","SC01","RESTORE_UNVERIFIED;STORAGE_WRITE_FAILED;UNAUTHORIZED","E2","COVERED","","PARTIAL_E1_E2: SC01"
"REQ-AC02","XN","P0","contracts/data/entities.yaml;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/state/run.yaml;precode/baseline.json;precode/decision-register.md","I06;I13","SC02;SC34","STORAGE_WRITE_FAILED;VALIDATION_ERROR","E2","COVERED","AMD-B08 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: f-three-offline-periods-one-catchup.json j-dst-boundary-occurrences.json","E2: SC34"
"REQ-AC03","XN","P0","contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ops/collector-probe.md;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/schemas/ingest-receipt.schema.json;contracts/schemas/worker-assignment.schema.json;contracts/state/run.yaml;precode/baseline.json;precode/decision-register.md","I02;I10;I13","SC03","SOURCE_LAYOUT_CHANGED;STALE_LEASE;STORAGE_WRITE_FAILED","E2","COVERED","AMD-B02 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt","PARTIAL_E1_E2: SC03"
"REQ-AC04","XN","P0","contracts/data/entities.yaml;contracts/data/invariants.md;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ops/collector-probe.md;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/schemas/ingest-batch.schema.json;contracts/schemas/ingest-receipt.schema.json;contracts/schemas/worker-assignment.schema.json;contracts/state/delivery.yaml;contracts/state/run.yaml;contracts/telegram/delivery.md;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I02;I10;I13","SC04;SC21;SC45","CAPABILITY_DENIED;CONFLICT;IDEMPOTENCY_CONFLICT;INGEST_ACK_LOST;INTERNAL;STALE_LEASE;UNAUTHORIZED_COMMAND;VALIDATION_ERROR;WORKER_LEASE_EXPIRED;X_CHALLENGE_REQUIRED","E2","COVERED","AMD-B05, AMD-B10 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: f-ingest-replay-idempotent.json l-run-now-while-needs-user.json","E2: SC21"
"REQ-AC05","XN","P0","contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/selection.md;contracts/reporting/time-and-tags.md;contracts/schemas/report.schema.json;contracts/state/report.yaml;precode/baseline.json;precode/decision-register.md","I05;I09","SC05;SC19","TAG_VERSION_STALE;TELEGRAM_SEND_UNCERTAIN;UNAUTHORIZED","E2","COVERED","AMD-B01 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: a-tag-removed-before-publish.json","E1: SC05"
"REQ-AC06","XN","P0","contracts/ai/tasks.yaml;contracts/data/entities.yaml;contracts/data/invariants.md;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/selection.md;contracts/reporting/time-and-tags.md;contracts/schemas/analysis-result.schema.json;contracts/state/analysis.yaml;precode/baseline.json;precode/decision-register.md","I04;I05","SC06;SC54","AI_OUTPUT_INVALID;CONFLICT;IDEMPOTENCY_CONFLICT","E2","COVERED","AMD-B07 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: b-tag-removed-then-readded-reuse-analysis.json j-same-key-resubmitted-one-result.json","PARTIAL_E1_E2: SC06"
"REQ-AC07","XN","P0","contracts/data/entities.yaml;contracts/data/identity.md;contracts/data/invariants.md;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/schemas/ingest-receipt.schema.json;contracts/schemas/report.schema.json;contracts/schemas/target.schema.json;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I03;I05;I07;I17","SC07;SC23","CONFLICT;IDENTITY_CONFLICT;SOURCE_METADATA_UNAVAILABLE","E1","COVERED","AMD-B15 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: a-merge-doi-arxiv.json h-five-posts-thread-one-target.json i-identity-merge-single-first-announced.json","PARTIAL_E1_E2: SC07;SC23"
"REQ-AC08","XN","P0","contracts/data/entities.yaml;contracts/errors.yaml;contracts/ports.yaml;contracts/reporting/time-and-tags.md;contracts/schemas/report.schema.json;contracts/state/report.yaml;precode/baseline.json;precode/decision-register.md","I05;I06;I12","SC08;SC37;SC38","CONFLICT;EMBEDDING_GENERATION_MISMATCH;INTERNAL;STORAGE_WRITE_FAILED;TAG_VERSION_STALE;VALIDATION_ERROR","E2","COVERED","AMD-B04 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: d-empty-period-coverage-only.json f-three-offline-periods-one-catchup.json g-concurrent-publishers-cas.json k-builder-crash-backfill-not-consumed.json","E2: SC08;SC37;SC38"
"REQ-AC09","XN","P0","contracts/data/entities.yaml;contracts/data/identity.md;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/selection.md;contracts/reporting/time-and-tags.md;contracts/schemas/report.schema.json;contracts/schemas/saved-snapshot.schema.json;contracts/state/report.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I03;I04;I05;I07;I17","SC09;SC30","CONFLICT;IDENTITY_CONFLICT","E2","COVERED","AMD-B15 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: a-merge-doi-arxiv.json c-identity-conflict.json h-already-announced-work-becomes-reference.json i-identity-merge-single-first-announced.json","PARTIAL_E1_E2: SC09;SC30"
"REQ-AC10","XN","P0","contracts/ai/grounding.md;contracts/ai/tasks.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/selection.md;contracts/schemas/analysis-result.schema.json;contracts/schemas/report.schema.json;contracts/schemas/saved-snapshot.schema.json;contracts/state/analysis.yaml;contracts/telegram/delivery.md;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I05;I16","SC10","AI_OUTPUT_INVALID;TELEGRAM_SEND_UNCERTAIN","E4","COVERED","AMD-B17 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: e-late-analysis-pending-then-late-discovery.json sc10-same-analysis-revision-app-and-telegram.json","PARTIAL_E1_E2: SC10"
"REQ-AC11","XN","P0","contracts/ai/grounding.md;contracts/ai/tasks.yaml;contracts/data/identity.md;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/schemas/analysis-result.schema.json;contracts/schemas/report.schema.json;contracts/schemas/saved-snapshot.schema.json;contracts/state/analysis.yaml;contracts/telegram/delivery.md;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I03;I11;I13","SC11;SC29","AI_OUTPUT_INVALID;CAPABILITY_DENIED;RATE_LIMITED;SOURCE_METADATA_UNAVAILABLE;VALIDATION_ERROR","E4","COVERED","AMD-B16 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: a-post-only-summary-inference-labelled.json b-post-only-missing-ids.json c-citation-to-unknown-source.json d-schema-valid-but-uncited.json","E1: SC29"
"REQ-AC12","XN","P0","contracts/data/entities.yaml;contracts/data/invariants.md;contracts/http/openapi.yaml;contracts/ops/backup-restore.md;contracts/ports.yaml;contracts/reporting/time-and-tags.md;contracts/schemas/saved-snapshot.schema.json;contracts/schemas/target.schema.json;contracts/state/storage.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I08;I09;I10;I13;I15;I17","SC12;SC27;SC48;SC53","CONFLICT;NOT_FOUND;RESTORE_UNVERIFIED;STALE_LEASE;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN;VALIDATION_ERROR","E2","COVERED","AMD-B11 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: e-source-deleted-snapshot-intact.json k-save-then-source-deleted.json","E1/E2: SC12;SC27;SC48;SC53"
"REQ-AC13","XN","P0","contracts/data/entities.yaml;contracts/data/invariants.md;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/schemas/saved-snapshot.schema.json;contracts/schemas/target.schema.json;contracts/telegram/commands.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I08;I17","SC13;SC46;SC48","CONFLICT;IDEMPOTENCY_CONFLICT;NOT_FOUND;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E2","COVERED","blocked_by B06 — RATIFIED (OD-20260907-01) · fixture: d-concurrent-save-app-telegram.json f-stale-callback-no-save.json j-concurrent-save-app-telegram.json","E1/E2: SC13;SC48"
"REQ-AC14","XN","P0","contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/state/delivery.yaml;contracts/telegram/delivery.md;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I05;I09;I13;I15","SC14;SC19;SC53","RATE_LIMITED;RESTORE_UNVERIFIED;STALE_LEASE;TAG_VERSION_STALE;TELEGRAM_PERMANENT_FAILURE;TELEGRAM_SEND_UNCERTAIN;UNAUTHORIZED","E3","COVERED","AMD-B03 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: a-multipart-part2-unknown-no-resend.json b-response-lost-unknown-operator-decides.json c-permanent-failure-report-intact.json c-tag-changed-after-publish-before-send.json · CR-PC07-04 ÁP DỤNG MỘT PHẦN 2026-09-08 theo OD-20260908-05 mục 2 (AUTH-OWNER-20260908-06): đồng bộ với precode/requirements.csv. Hai trong năm giới hạn định dạng Telegram ĐƯỢC GIẢI BẰNG TÀI LIỆU, không bằng phép đo — 4096 ký tự cho một tin (core.telegram.org/bots/tutorial) và 1 tin/giây mỗi chat cộng 20 tin/phút mỗi group cộng khoảng 30 tin/giây khi broadcast (core.telegram.org/bots/faq); Retry-After thật vẫn thắng. BA giới hạn còn KC (callback_data, parse mode và bảng escape, số nút mỗi hàng/bàn phím) ở trạng thái BLOCKED_DEPENDENCY và vẫn chặn nhánh multipart, nên coverage_status COVERED ở đây nói về fixture E1 của nhánh unknown, KHÔNG nói nhánh multipart đã hiện thực được. Nguồn: precode/decision-register.md §8.14.1; precode/change-control.md §10 CR-PC07-04; evidence/handoffs/PC07-TELEGRAM-handoff.md","E2: SC53"
"REQ-AC15","XN","P0","contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ops/collector-probe.md;contracts/ops/deployment.md;contracts/ports.yaml;contracts/state/delivery.yaml;contracts/state/report.yaml;contracts/state/run.yaml;contracts/state/storage.yaml;contracts/telegram/commands.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I09;I13","SC15","NOT_FOUND;SOURCE_LAYOUT_CHANGED;STORAGE_WRITE_FAILED;X_ACCESS_BLOCKED","E4","COVERED","AMD-B02 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: c-permanent-failure-report-intact.json d-empty-period-coverage-only.json m-three-run-states-distinct-text.json","PARTIAL_E1_E2: SC15"
"REQ-AC16","XN","P0","contracts/ai/providers.yaml;contracts/ai/tasks.yaml;contracts/capabilities.yaml;contracts/data/entities.yaml;contracts/errors.yaml;contracts/modules.yaml;contracts/ops/cli-acp-probe.md;contracts/ops/deployment.md;contracts/ops/secrets.md;contracts/ports.yaml;contracts/schemas/analysis-result.schema.json;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I11;I14;I16","SC16;SC55;SC56","AI_ATTEMPT_UNCERTAIN;AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CAPABILITY_DENIED","E3","COVERED","blocked_by B13 — RATIFIED (OD-20260907-01) · fixture: g-cli-json-embedded-in-prose.json h-provider-unavailable-no-fallback.json k-zero-api-key-all-tasks-via-cli.json","PARTIAL_E1_E2: SC16"
"REQ-AC17","XN","P0","contracts/ai/grounding.md;contracts/ai/providers.yaml;contracts/ai/tasks.yaml;contracts/capabilities.yaml;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ops/cli-acp-probe.md;contracts/ops/internet-boundary.md;contracts/ops/secrets.md;contracts/ports.yaml;contracts/schemas/analysis-result.schema.json;contracts/telegram/delivery.md;precode/baseline.json;precode/decision-register.md","I01;I11","SC17;SC49","AI_OUTPUT_INVALID;CAPABILITY_DENIED;FORBIDDEN_EDGE;RESTORE_UNVERIFIED;UNAUTHORIZED;UNAUTHORIZED_COMMAND","E3","COVERED","blocked_by B13 — RATIFIED (OD-20260907-01) · fixture: b-instruction-injection-in-post.json e-transcript-secret-canary.json f-tool-request-in-transcript.json","PARTIAL_E1_E2: SC17;SC49"
"REQ-AC18","XN","P0","contracts/capabilities.yaml;contracts/data/entities.yaml;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ops/internet-boundary.md;contracts/ops/secrets.md;contracts/ports.yaml;contracts/state/delivery.yaml;contracts/telegram/commands.yaml;precode/baseline.json;precode/decision-register.md","I01;I11","SC18;SC47;SC49","CAPABILITY_DENIED;CSRF_REJECTED;FORBIDDEN_EDGE;RATE_LIMITED;RESTORE_UNVERIFIED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E2","COVERED","AMD-B09 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: h-unknown-chat-status-silent.json","E2: SC18;SC47"
"REQ-P0-01","XN","P0","contracts/http/openapi.yaml;contracts/ports.yaml;precode/baseline.json","I01;I11;I12","SC40;SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;FORBIDDEN_EDGE;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","fixture: sc51-first-time-setup.json","PARTIAL_E1_E2: SC40;SC51"
"REQ-P0-02","XN","P0","contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/selection.md;precode/baseline.json","I01;I11;I12","SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","fixture: sc51-first-time-setup.json","PARTIAL_E1_E2: SC51"
"REQ-P0-03","XN","P0","contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ops/deployment.md;contracts/ports.yaml;contracts/schemas/ingest-batch.schema.json;precode/baseline.json;precode/decision-register.md","I02;I04;I05;I06;I07;I09;I12;I13;I16","SC50","AI_OUTPUT_INVALID;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN","E2","COVERED","blocked_by B12;B05 — RATIFIED (OD-20260907-01) · fixture: a-happy-path-schedule-to-delivered.json","PARTIAL_E1_E2: SC50"
"REQ-P0-04","XN","P0","contracts/modules.yaml;contracts/ports.yaml;precode/baseline.json;precode/decision-register.md","I02;I04;I05;I06;I07;I09;I12;I13;I16","SC50","AI_OUTPUT_INVALID;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN","E2","COVERED","fixture: a-happy-path-schedule-to-delivered.json","PARTIAL_E1_E2: SC50"
"REQ-P0-05","XN","P0","contracts/ai/tasks.yaml;contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ports.yaml;contracts/reporting/selection.md;precode/baseline.json;precode/decision-register.md","I02;I04;I05;I06;I07;I09;I12;I13;I16","SC50","AI_OUTPUT_INVALID;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN","E2","COVERED","fixture: a-happy-path-schedule-to-delivered.json","PARTIAL_E1_E2: SC50"
"REQ-P0-06","XN","P0","contracts/ai/tasks.yaml;contracts/ports.yaml;precode/baseline.json;precode/decision-register.md","I02;I04;I05;I06;I07;I09;I12;I13;I16","SC10;SC22;SC50","AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CONFLICT;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN","E4","COVERED","AMD-B17 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: a-happy-path-schedule-to-delivered.json sc10-same-analysis-revision-app-and-telegram.json","PARTIAL_E1_E2: SC10;SC22;SC50"
"REQ-P0-07","XN","P0","contracts/ai/tasks.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/selection.md;contracts/reporting/time-and-tags.md;contracts/schemas/report.schema.json;precode/baseline.json;precode/decision-register.md","I02;I04;I05;I06;I07;I09;I12;I13;I16","SC50","AI_OUTPUT_INVALID;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN","E2","COVERED","blocked_by B04;B14 — RATIFIED (OD-20260907-01) · fixture: a-happy-path-schedule-to-delivered.json","PARTIAL_E1_E2: SC50"
"REQ-P0-08","XN","P0","contracts/data/entities.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;precode/baseline.json;precode/decision-register.md","I08;I15;I17","SC12;SC13","CONFLICT;IDEMPOTENCY_CONFLICT;NOT_FOUND;RESTORE_UNVERIFIED;STORAGE_WRITE_FAILED;UNAUTHORIZED","E2","COVERED","blocked_by B03 — RATIFIED (OD-20260907-01)","E2: SC12;SC13"
"REQ-P0-09","XN","P0","contracts/http/openapi.yaml;contracts/ports.yaml;precode/baseline.json;precode/decision-register.md","I02;I04;I05;I06;I07;I09;I12;I13;I16","SC50","AI_OUTPUT_INVALID;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN","E2","COVERED","blocked_by B09;B10 — RATIFIED (OD-20260907-01) · fixture: a-happy-path-schedule-to-delivered.json","PARTIAL_E1_E2: SC50"
"REQ-P0-10","XN","P0","contracts/http/openapi.yaml;contracts/ports.yaml;precode/baseline.json;precode/decision-register.md","I01;I10;I15","SC01","RESTORE_UNVERIFIED;STORAGE_WRITE_FAILED;UNAUTHORIZED","E2","COVERED","blocked_by B08 — RATIFIED (OD-20260907-01)","PARTIAL_E1_E2: SC01"
"REQ-P0-11","XN","P0","contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ports.yaml;precode/baseline.json;precode/decision-register.md","I11;I14","SC16;SC17","AI_ATTEMPT_UNCERTAIN;AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CAPABILITY_DENIED;FORBIDDEN_EDGE;UNAUTHORIZED","E3","COVERED","blocked_by B13 — RATIFIED (OD-20260907-01)","PARTIAL_E1_E2: SC16;SC17"
"REQ-P0-12","XN","P0","contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ops/deployment.md;contracts/ports.yaml;contracts/schemas/ingest-batch.schema.json;precode/baseline.json;precode/decision-register.md","I02;I10;I13","SC03","SOURCE_LAYOUT_CHANGED;STALE_LEASE;STORAGE_WRITE_FAILED","E2","COVERED","blocked_by B02;B05 — RATIFIED (OD-20260907-01) · fixture: neg-ingest-batch-bad-payload-hash.json neg-ingest-batch-empty-items.json neg-ingest-batch-missing-idempotency-key.json neg-ingest-batch-timestamp-precision.json","PARTIAL_E1_E2: SC03"
"REQ-P1-01","ĐX","P1","precode/baseline.json","","","","E0","DEFERRED_P1","phủ bằng cổng G0 (precode/gates.yaml), không bằng scenario",""
"REQ-P1-02","XN","P1","contracts/data/entities.yaml;contracts/schemas/ingest-batch.schema.json;precode/baseline.json","","","","E0","DEFERRED_P1","phủ bằng cổng G0 (precode/gates.yaml), không bằng scenario",""
"REQ-P1-03","UQ","P1","precode/baseline.json","","","","E0","DEFERRED_P1","phủ bằng cổng G0 (precode/gates.yaml), không bằng scenario",""
"REQ-P1-04","UQ","P1","contracts/reporting/selection.md;precode/baseline.json","","","","E0","DEFERRED_P1","phủ bằng cổng G0 (precode/gates.yaml), không bằng scenario",""
"REQ-P1-05","XN","P1","precode/baseline.json","","","","E0","DEFERRED_P1","phủ bằng cổng G0 (precode/gates.yaml), không bằng scenario",""
"REQ-OOS-01","XN","OOS","precode/baseline.json","","","","E0","OUT_OF_SCOPE","phủ bằng cổng G0 (precode/gates.yaml), không bằng scenario",""
"REQ-OOS-02","XN","OOS","contracts/ops/internet-boundary.md;precode/baseline.json","","","","E0","OUT_OF_SCOPE","",""
"REQ-OOS-03","XN","OOS","precode/baseline.json","","","","E0","OUT_OF_SCOPE","phủ bằng cổng G0 (precode/gates.yaml), không bằng scenario",""
"REQ-OOS-04","XN","OOS","precode/baseline.json","I01;I11","SC49","CAPABILITY_DENIED;FORBIDDEN_EDGE;RESTORE_UNVERIFIED;UNAUTHORIZED;UNAUTHORIZED_COMMAND","E2","OUT_OF_SCOPE","","PARTIAL_E1_E2: SC49"
"REQ-OOS-05","XN","OOS","contracts/telegram/commands.yaml;precode/baseline.json","","","","E0","OUT_OF_SCOPE","blocked_by B10 — RATIFIED (OD-20260907-01)",""
"REQ-OOS-06","XN","OOS","contracts/ai/grounding.md;precode/baseline.json","","","","E0","OUT_OF_SCOPE","blocked_by B14;B16 — RATIFIED (OD-20260907-01)",""
